,gene,best_fit
2503,H2-Oa,other
2507,H2-T24,other
2514,H47,other
2516,Hacl1.1,other
2518,Hap1,other
2519,Hap1.1,other
2526,Hbegf,other
2528,Hbs1l.2,other
2530,Hcfc2,other
2533,Hdac6,other
2543,Hexdc,other
2544,Hexdc.1,other
2552,Hif1a.1,other
2556,Hint3,other
2557,Hipk2,other
2561,Hist1h2ad,other
2562,Hist1h2af,other
2563,Hist1h2af.1,other
2565,Hist1h2ah,other
2566,Hist1h2ah.1,other
2567,Hist1h2ai,other
2568,Hist1h2ai.1,other
2569,Hist1h2ak,other
2570,Hist1h2an,other
2571,Hist1h2bb,other
2574,Hist2h2ac,other
2578,Hk1,other
2579,Hk3,other
2580,Hlx,other
2581,Hmgb2,other
2582,Hmgcl.1,other
2583,Hmgn1,other
2584,Hmgn2,other
2588,Hnrpdl.1,other
2589,Hnrpm,other
2590,Hnrpm.1,other
2591,Hnrpm.2,other
2592,Hnrpul1,other
2598,Hormad2,other
2604,Hps1,other
2607,Hps6,other
2610,Hrbl,other
2611,Hrbl.1,other
2613,Hrsp12.3,other
2614,Hs3st3b1,other
2616,Hs3st3b1.3,other
2619,Hscb,other
2620,Hscb.1,other
2632,Hspb1,other
2633,Hspb6,other
2635,Hspbap1.1,other
2642,Htra2.1,other
2643,Htra2.2,other
2647,Iars2,other
2648,Iars2.1,other
2649,Ica1,other
2651,Ick,other
2652,Ick.1,other
2657,Idh1,other
2658,Idh3b,other
2659,Idi2,other
2662,Ifi202b,other
2663,Ifi202b.1,other
2665,Ifi27,other
2666,Ifi35,other
2667,Ifi44,other
2669,Ifih1,other
2674,Ifitm1.1,other
2679,Ifna6.2,other
2682,Ifnar2.2,other
2685,Ifngr1,other
2686,Ifngr2,other
2687,Ifngr2.1,other
2690,Ift52,other
2691,Ift52.1,other
2692,Ift74,other
2695,Ift81.1,other
2696,Igf2,other
2701,Igfbp7.1,other
2706,Ikbkg.2,other
2709,Ikzf2,other
2713,Il10rb,other
2719,Il15.2,other
2732,Il2rg,other
2735,Il4ra,other
2739,Il6st,other
2747,Inadl.4,other
2750,Ing2,other
2752,Ing4.1,other
2755,Inoc1,other
2756,Inpp4b.1,other
2760,Inppl1.2,other
2766,Insl3.1,other
2768,Ints12,other
2769,Ints4,other
2770,Ints9.1,other
2772,Ipo13,other
2773,Ipp,other
2774,Ippk,other
2777,Irak2,other
2778,Irak2.1,other
2781,Ireb2,other
2786,Irf6.1,other
2789,Irgm.1,other
2790,Isca1.1,other
2792,Isg20,other
2795,Itga3,other
2796,Itga7,other
2804,Ivns1abp,other
2806,Ivns1abp.2,other
2808,Jag2,other
2809,Jak3,other
2810,Jak3.1,other
2811,Jazf1,other
2813,Jmjd1a.1,other
2815,Jmjd2b,other
2817,Jmjd2b.2,other
2818,Jmjd2c,other
2826,Kank3,other
2828,Katnb1.1,other
2831,Kbtbd4,other
2832,Kbtbd4.1,other
2833,Kbtbd8.1,other
2834,Kbtbd8.2,other
2836,Kcnf1,other
2844,Kcnn2.1,other
2846,Kcnrg.1,other
2847,Kctd1,other
2848,Kctd12.1,other
2851,Kctd20.2,other
2852,Kctd5,other
2854,Kctd6.1,other
2858,Khdrbs1,other
